Nom du commerce;Adresse;Code postal;Type de commerce;Services;Description;Précisions;Site internet;Téléphone;Mail;geo_shape;geo_point_2d
Boutique Maryland Cotton;78 rue du rendez-vous;75012;Autre;Livraisons à domicile, Retrait de commandes en magasin;Boutique du quartier de la nation, multimarques françaises, allemandes, italiennes;;http://www.theshoppingbylilye.fr;06 75 66 06 59;contact@theshoppingbylilye.fr;"{""type"": ""Point"", ""coordinates"": [2.399870319119152, 48.84714933107617]}";48.8471493311,2.39987031912
Foulées;36 BOULEVARD DE SÉBASTOPOL;75004;Autre;Livraisons à domicile, Retrait de commandes en magasin;Le magasin Foulées vous accueille au coeur de la capitale dans un espace dédié au running, au trail et à la marche nordique.;;https://foulees.com/shop/Produits/Liste?type=MAGS#;01 40 09 11 07;75foulees04@foulees.com;"{""type"": ""Point"", ""coordinates"": [2.350095862070333, 48.86146693037783]}";48.8614669304,2.35009586207
LE SELECT MONTPARNASSE;99 BOULEVARD DU MONTPARNASSE;75006;Restaurant ou traiteur;Retrait de commandes en magasin;"LE SELECT.... BRASSERIE PARISIENNE INCONTOURNABLE DU BOULEVARD MONTPARNASSE...
VENTE A EMPORTER SUR PLACE DE 8H A 15H EN SEMAINE
POSSIBILITE DE ""CLICK AND COLLECT"" VIA NOTRE SITE INTERNET";;https://www.leselectmontparnasse.fr/;01 45 48 38 24;bastienviguier@hotmail.com;"{""type"": ""Point"", ""coordinates"": [2.3283672909122872, 48.84261351667084]}";48.8426135167,2.32836729091
L espace d un tour;139 bis rue de Vaugirard;75015;Artisanat d'art;Livraisons à domicile, Retrait de commandes en magasin;Créations de céramique originale  chaque pièce est originale , des cadeaux pour tous les budgets, utilitaire et /ou artistique.;;https://www.lespaceduntour.fr;06 65 03 28 80;sandrine.charbonnel15@laposte.net;"{""type"": ""Point"", ""coordinates"": [2.316993699020719, 48.844186323363274]}";48.8441863234,2.31699369902
Mama Nissa;14 rue Mandar;75002;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Mama Nissa est un restaurant algérien de Châtelet qui propose un grand choix de plats méditerranéens à emporter ou en livraison.;;https://www.mamanissa.fr/;01 42 36 52 15;contact@mamanissa.fr;"{""type"": ""Point"", ""coordinates"": [2.345325843860841, 48.8657721927956]}";48.8657721928,2.34532584386
Wunderbär;16 rue Beaurepaire;75010;Restaurant ou traiteur;Retrait de commandes en magasin;"Restaurant allemand ouvert du mardi au samedi, 12-15h et 18-21h. 
Wurst (saucisses) de qualité, frites maison, large sélection de bières à emporter!";;<Nul>;09 81 26 88 53;natsumehabrant@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.36392610581083, 48.87027515825995]}";48.8702751583,2.36392610581
Ken Claude;55, de Turenne;75003;Autre;Livraisons à domicile, Retrait de commandes en magasin;Ken claude c’est une caverne d’Ali baba de vêtements vintage et lookés pour tous les âge;;<Nul>;06 21 33 05 35;Kenclaude@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.364389723163093, 48.8586778714208]}";48.8586778714,2.36438972316
Archibar;13 bus rue Campagne première;75014;Caviste - Brasserie;Retrait de commandes en magasin;Bar de quartier qui souffre du confinement qui délite ke lien social;;<Nul>;;Jpfaure1966@glail.com;"{""type"": ""Point"", ""coordinates"": [2.332784102448524, 48.83985045346347]}";48.8398504535,2.33278410245
Bleu Matin;74 rue Lamarck;75018;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Bleu Matin est un coffee-shop à la française dont la spécialité est le croque-monsieur. Nous utilisons presque exclusivement des produits bio et locaux !;;http://bleumatin.fr;06 72 75 02 38;marion@bleumatin.fr;"{""type"": ""Point"", ""coordinates"": [2.338628549811885, 48.890024454419425]}";48.8900244544,2.33862854981
Le boudoir de caroline;43 rue Delambre;75014;Autre;Retrait de commandes en magasin;L’univers du cadeau. Une jolie sélection d’articles raffinés. Tout pour faire plaisir et se faire plaisir à prix doux;;;06 26 42 30 55;leboudoirdecaroline5@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.325445415424433, 48.841273982113655]}";48.8412739821,2.32544541542
Brasserie le bobillot;79 Rue Bobillot;75013;Restaurant ou traiteur;Retrait de commandes en magasin;"Brasserie traditionnelle, vente à emporter, spécialités grillades, vente à emporter des boissons 
Nous sommes ouvert du lundi au samedi de 07h à 16h.
Cuisine fait maison";;http://brasserielebobillot.com;01 45 88 17 94;brasseriebobillot@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.350358338301139, 48.82561785212359]}";48.8256178521,2.3503583383
Boutique for tomorrow;16 Esplanade Nathalie Sarraute;75018;Autre;Livraisons à domicile, Retrait de commandes en magasin;Nouvelle destination shopping, ce concept store devient la vitrine référente du quartier en matière de design la boutique est située au centre de l’esplanade Nathalie Sarraute.;;http://www.boutiquefortomorrow.com;01 42 05 88 87;contact@boutiquefortomorrow.com;"{""type"": ""Point"", ""coordinates"": [2.3625890892535493, 48.888392546702214]}";48.8883925467,2.36258908925
Parcero;29 rue du chemin vert, Chez Choco;75011;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;"Parcero c'est des plats 100% fait maison à base de Burrata.
C'est frais, c'est bon, c'est fait avec passion";;https://www.parcero-paris.com/;;hello@parcero-paris.com;"{""type"": ""Point"", ""coordinates"": [2.373311127442888, 48.85871378461019]}";48.8587137846,2.37331112744
Atelier Alexandra Latour;51 Boulevard Exelmans;75016;Autre;Livraisons à domicile;Ecussons et manchettes brodés sur commande;;http://www.alexandralatour.com;06 19 11 20 50;alexandra.latour.pro@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.261799088589032, 48.84206067866282]}";48.8420606787,2.26179908859
ÉPICERIE HECTARE;12 rue Amelot;75011;Alimentation générale et produits de première nécessité;Retrait de commandes en magasin;Épicerie de quartier proposant des produits locaux, direct producteurs et issus d'une agriculture biologique et/ou raisonnée.;;;01 80 06 63 31;contact@epiceriehectare.com;"{""type"": ""Point"", ""coordinates"": [2.369239909731775, 48.85611174251707]}";48.8561117425,2.36923990973
Au84;84, rue Blanche;75009;Autre;Retrait de commandes en magasin;Salon de coiffure h/f vend des produits capillaires ainsi que des coffrets et carte cadeau;;;06 19 93 02 25;Mamanaza@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.331998279092354, 48.88239314838654]}";48.8823931484,2.33199827909
Oplato;69 rue de Charonne;75011;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;La philosophie d’Oplato se résume en peu de mots : retrouver les saveurs et l’atmosphère des bons apéros d’antan en proposant des planches de qualité à partager entre amis. Commandez en ligne !;;https://oplato.com/;09 81 80 44 70;contact@oplato.com;"{""type"": ""Point"", ""coordinates"": [2.38017950094019, 48.853582698909655]}";48.8535826989,2.38017950094
Cafe beaujolais;28 avenue de suffren;75015;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;"Votre restaurant café beaujolais reste ouvert à emporté pendant cette periode 
Un plat du jour vous sera proposé du lundi au vendredi";;https://restaurant-lebeaujolais.fr/fr;01 83 94 93 81;Cafebeaujolaisparis@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.2944840652041902, 48.85510210579623]}";48.8551021058,2.2944840652
La Vie Claire;24 rue Berbier du mets;75013;Autre;Livraisons à domicile;La vie Claire est un commerce BIO de proximité proposant des produits alimentaires/ cosmétiques et d’hygiènes;;;01 45 32 03 34;paris_berbier_du_mets@lavieclaire.com;"{""type"": ""Point"", ""coordinates"": [2.350123759229216, 48.83561812468159]}";48.8356181247,2.35012375923
TRYPHON;104, rue du faubourg Saint Denis;75010;Autre;Livraisons à domicile, Retrait de commandes en magasin;L'abat-jour TRYPHON est un accessoire basic, chic, décalé, un brin rétro, jamais convenu, conçu et confectionné dans l'atelier attenant à la boutique. Fabrication sur mesure sur demande.;;http://abat-jour-tryphon.com;06 63 08 80 52;tryphon.paris@yahoo.com;"{""type"": ""Point"", ""coordinates"": [2.355876466150455, 48.87493348203007]}";48.874933482,2.35587646615
Bonome;26 rue Etienne Dolet;75020;Artisanat d'art;Livraisons à domicile, Retrait de commandes en magasin;Concepteur de mobilier d'intérieur d'exception, réalisé en France avec soin.;;https://www.bonome.fr/;06 08 73 58 55;contact@bonome.fr;"{""type"": ""Point"", ""coordinates"": [2.384720145107883, 48.86783221799054]}";48.867832218,2.38472014511
Amaryllis Fleurs;230 rue de la Croix-Nivert;75015;Fleuriste;Livraisons à domicile, Retrait de commandes en magasin;;;http://www.amfleurs.fr;01 40 43 92 82;mail@amfleurs.fr;"{""type"": ""Point"", ""coordinates"": [2.289643471211468, 48.83544315646427]}";48.8354431565,2.28964347121
IMAGES SERVICE;45, rue Mazarine;75006;Autre;Livraisons à domicile, Retrait de commandes en magasin;"Durant le confinement, nous réalisons du click & collect pour tous les tirages photos grâce à notre application ""mobile photo kiosk"" code magasin 6859. Nous imprimons aussi des photos d'identités";;http://www.imageservice.fr;01 46 33 79 39;odeon@imageservice.fr;"{""type"": ""Point"", ""coordinates"": [2.338354155019451, 48.8540036489966]}";48.854003649,2.33835415502
YAY Paris;26 rue Pastourelle;75003;Artisanat d'art;Livraisons à domicile, Retrait de commandes en magasin;YAY propose des bijoux fins à porter au quotidien en plaqué or, argent, et pierres fines. Nous proposons aussi une petite gamme de joaillerie. Des bijoux pour se faire plaisir ou pour offrir !;;http://www.yay.paris;07 82 10 31 15;commercial@yay.paris;"{""type"": ""Point"", ""coordinates"": [2.359353205024323, 48.86289587212775]}";48.8628958721,2.35935320502
CURIOSITAS;7 Rue Ravignan;75018;Autre;Retrait de commandes en magasin;Sur la butte Montmartre, Curiositas est un cabinet de curiosités à l'ancienne qui vous propose des papillons sous cloche, des fossiles, d'anciennes gravures anatomiques, de vieux microscopes etc...;;http://www.curiositas.paris;09 86 52 28 06;curiositas-cdc@outlook.com;"{""type"": ""Point"", ""coordinates"": [2.337753916394164, 48.88554607759913]}";48.8855460776,2.33775391639
Atelier ZougZoug;55 avenue Gambetta;75020;Artisanat d'art;Livraisons à domicile, Retrait de commandes en magasin;Atelier boutique de céramique;;https://zougzoug-atelierceramique.fr/;06 60 19 98 18;atelierzougzoug@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.395646239651443, 48.8651103771385]}";48.8651103771,2.39564623965
la cave de Tolbiac;45 rue de Tolbiac;75013;Caviste - Brasserie;Livraisons à domicile, Retrait de commandes en magasin;;;http://lacavedetolbiac.com;01 45 83 48 83;lacavedetolbiac@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.371850572001008, 48.82779546349572]}";48.8277954635,2.371850572
Roussotto Vintage & Custom;13 bis rue Saint Maur;75011;Autre;Retrait de commandes en magasin;Eco concept store. Notre politique: zéro déchet. Nous recyclons des vêtements et accessoires de marque made in France d'abord. YSL,Vuitton,Dior,Darel, Chanel,Lacroix,Castelbajac,Gaultier. Objets déco;;http://www.roussotto.fr;07 66 36 27 12;elianedibong@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.38250504088057, 48.859585342786716]}";48.8595853428,2.38250504088
Hecosfair;5 Avenue Ingres;75016;Alimentation générale et produits de première nécessité;Livraisons à domicile;;;https://www.hecosfair.com;;;"{""type"": ""Point"", ""coordinates"": [2.265294578903462, 48.85692286125052]}";48.8569228613,2.2652945789
Les pintades;62 Rue de Vouillé;75015;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Épicerie bio;;;06 59 80 13 42;;"{""type"": ""Point"", ""coordinates"": [2.308481269318546, 48.833550300453346]}";48.8335503005,2.30848126932
Boucherie rue du commerce;70 rue du commerce;75015;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;;;;01 48 28 15 14;;"{""type"": ""Point"", ""coordinates"": [2.294484346353184, 48.845521698121296]}";48.8455216981,2.29448434635
Délice du bonheur;10 RUE DE OLIVE;75018;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;;;;06 43 08 38 28 - 07 63 85 46 52;;"{""type"": ""Point"", ""coordinates"": [2.361662625606227, 48.89097731349553]}";48.8909773135,2.36166262561
Tante Emma-Laden;31 RUE DU CHÂTEAU D'EAU;75010;Épicerie fine;Livraisons à domicile;Produits allemands - Par tél entre 10 et 13h;;https://www.tante-emma-laden.fr;01 42 46 51 17;;"{""type"": ""Point"", ""coordinates"": [2.358452229546272, 48.8710014295831]}";48.8710014296,2.35845222955
Épicerie Musicale;55 bis quai de valmy;75010;Épicerie fine;Livraisons à domicile;Produits italiens;;;07 51 65 38 02;;"{""type"": ""Point"", ""coordinates"": [2.36546380468185, 48.870537303963665]}";48.870537304,2.36546380468
Coincas Michaël;29 rue de la tour d'Auvergne;75009;Primeur;Livraisons à domicile;;;;06 17 56 05 03;;"{""type"": ""Point"", ""coordinates"": [2.342910497043259, 48.879250634155774]}";48.8792506342,2.34291049704
Maison Gérard MULOT;76, rue de Seine;75006;Boulangerie - pâtisserie;Livraisons à domicile;;;;01 43 26 85 77;;"{""type"": ""Point"", ""coordinates"": [2.336951190640641, 48.85194135736294]}";48.8519413574,2.33695119064
CLOPINETTE;37 Avenue de la Grande Armée;75016;Alimentation générale et produits de première nécessité;Livraisons à domicile;Boutique de cigarettes électroniques , eliquides et accessoires.;;;01 46 37 51 88;pf@electronfrance.fr;"{""type"": ""Point"", ""coordinates"": [2.289306629920369, 48.87524098043202]}";48.8752409804,2.28930662992
Boulangerie Patisserie Royer;41 boulevard de Reuilly;75012;Boulangerie - pâtisserie;Livraisons à domicile;;;;01 43 43 40 85;;"{""type"": ""Point"", ""coordinates"": [2.3935237194627152, 48.839545354852596]}";48.8395453549,2.39352371946
Les saisonniers;32 rue pernety;75014;Alimentation générale et produits de première nécessité;Livraisons à domicile;Minimum de commande 35€;;;07 85 50 45 48;Margaux@les-saisonniers.com;"{""type"": ""Point"", ""coordinates"": [2.318911007102708, 48.83355018720834]}";48.8335501872,2.3189110071
Maison Konteh;141 Rue de la croix Nivert;75015;Boulangerie - pâtisserie;Livraisons à domicile;;;;09 84 12 37 95;;"{""type"": ""Point"", ""coordinates"": [2.292137983947296, 48.84125167650964]}";48.8412516765,2.29213798395
COMME UNE AMANDE;45 rue Emile Menier;75016;Épicerie fine;Livraisons à domicile;Fruits secs, olives, huile d'olive, tapenade.;;https://www.comme-une-amande.com;06 03 02 35 10;contact@comme-une-amande.com;"{""type"": ""Point"", ""coordinates"": [2.279373203916486, 48.869796355346935]}";48.8697963553,2.27937320392
FROMAGERIE GRIFFON;23 BIS AVENUE DE LA MOTTE PICQUET;75007;Fromagerie;Livraisons à domicile;;;;01 45 50 14 85;commandes.griffon@sfr.fr;"{""type"": ""Point"", ""coordinates"": [2.307527268726863, 48.85539317424048]}";48.8553931742,2.30752726873
Jin;85 rue Damrémont;75018;Alimentation générale et produits de première nécessité;Livraisons à domicile;;;;;;"{""type"": ""Point"", ""coordinates"": [2.336332823780911, 48.89380868800968]}";48.893808688,2.33633282378
Carrefour;12 rue mongenot;75012;Alimentation générale et produits de première nécessité;Livraisons à domicile;;;;;;"{""type"": ""Point"", ""coordinates"": [2.415062253989011, 48.84328781424489]}";48.8432878142,2.41506225399
La Lunette Rouge;174 avenue de Clichy;75017;Articles médicaux et orthopédiques;Livraisons à domicile;Livraison à domicile de toute commande de lentilles de contact.;;https://www.lalunetterouge.fr/;01 46 27 51 99;contact@lalunetterouge.fr;"{""type"": ""Point"", ""coordinates"": [2.317373446590036, 48.89235857047578]}";48.8923585705,2.31737344659
Boucherie le lann;242 bis rue des Pyrénées;75020;Alimentation générale et produits de première nécessité;Livraisons à domicile;;;;01 47 97 12 79;Courtiol.lolo@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.396153595375273, 48.86809094022019]}";48.8680909402,2.39615359538
O'Tacos;12, rue Vavin;75006;Restaurant ou traiteur;Livraisons à domicile;;;;;;"{""type"": ""Point"", ""coordinates"": [2.331113400200969, 48.844295384272506]}";48.8442953843,2.3311134002
Corbeille Daudet;19 rue Alphonse Daudet;75014;Primeur;Livraisons à domicile;;;;06 25 89 23 06;Bourasaymen1@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.327041286040421, 48.82666514399453]}";48.826665144,2.32704128604
Les Caves de Reuilly;11 boulevard de Reuilly;75012;Caviste - Brasserie;Livraisons à domicile;Du lundi au samedi de 11h à 13h et de 14h à 20h;;http://www.lescavesdereuilly.fr;01 43 47 10 39;contact@lescavesdereuilly.fr;"{""type"": ""Point"", ""coordinates"": [2.390743350287266, 48.839311559776725]}";48.8393115598,2.39074335029
MONBLEU;37 RUE DU FAUBOURG MONTMARTRE;75009;Fromagerie;Livraisons à domicile;Fromage - Vin - Charcuterie;;;01 45 89 23 96;;"{""type"": ""Point"", ""coordinates"": [2.34205140754056, 48.87416221251079]}";48.8741622125,2.34205140754
Eric Kayser;27 rue du Départ;75014;Boulangerie - pâtisserie;Livraisons à domicile;;;https://www.maison-kayser.com/fr/boulangeries/100001015-montparnasse.html;01 43 27 08 41;;"{""type"": ""Point"", ""coordinates"": [2.322430025586693, 48.84159333502228]}";48.841593335,2.32243002559
Amasia;8 avenue Choisy;75013;Alimentation générale et produits de première nécessité;Livraisons à domicile;Supermarche asiatique, horaires provisoire: lundi-samedi 9h30-13h;;;01 45 86 86 18;contact@amasia.fr;"{""type"": ""Point"", ""coordinates"": [2.364450117067095, 48.820712758318784]}";48.8207127583,2.36445011707
Le Panier Fruité;15 place d'Aligre;75012;Primeur;Livraisons à domicile;;;https://lepanierfruite.fr;;contact@lepanierfruite.fr;"{""type"": ""Point"", ""coordinates"": [2.378865064043019, 48.84884383670788]}";48.8488438367,2.37886506404
Slimania Nesic;39 Rue de Bretagne;75003;Fromagerie;Livraisons à domicile;;;;06 26 72 90 72;;"{""type"": ""Point"", ""coordinates"": [2.362163608356473, 48.863038894562465]}";48.8630388946,2.36216360836
Lidia Nadal;34 rue du Château-d'Eau;75010;Restaurant ou traiteur;Livraisons à domicile;;;;07 82 66 94 94;info@messouvenirsdespagne.com;"{""type"": ""Point"", ""coordinates"": [2.359361529697365, 48.87068405854911]}";48.8706840585,2.3593615297
Patrick Hayee;Place d'Aligre;75012;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;;;;01 43 45 36 59;;"{""type"": ""Point"", ""coordinates"": [2.378194833219909, 48.84883566065856]}";48.8488356607,2.37819483322
Greuillet;Place de Passy;75016;Primeur;Livraisons à domicile;;;;06 82 55 04 81;;"{""type"": ""Point"", ""coordinates"": [2.278190783939908, 48.85781615525512]}";48.8578161553,2.27819078394
Dupont;Place de Passy;75016;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;;;;06 58 41 07 27;;"{""type"": ""Point"", ""coordinates"": [2.277481081210234, 48.858215149508204]}";48.8582151495,2.27748108121
Ambassade de Bourgogne;6 rue de l'Odéon;75006;Caviste - Brasserie;Livraisons à domicile;"Ouvert 7/7j, de 11 h à 18 h. 
Livraisons possibles sur tout Paris. Expéditions sur Paris , province  et international.";;http://www.ambassadedebourgogne.com/media/catalog/lists/Livre_de_cave_ambassade_de_bourgogne.pdf;06 03 69 99 29;contact@ambassadedebourgogne.com;"{""type"": ""Point"", ""coordinates"": [2.338588475778752, 48.851309337271196]}";48.8513093373,2.33858847578
Cave Vino Sapiens;145 Rue Saint-Dominique;75007;Caviste - Brasserie;Livraisons à domicile;Champagnes;;https://www.epicery.com/epiceries/cave-vino-sapiens;+33 6 82 48 95 60;vinosapiens@cavevinosapiens.com;"{""type"": ""Point"", ""coordinates"": [2.300916170645184, 48.85786078856797]}";48.8578607886,2.30091617065
Au Verger Fleuri;47 rue des martyrs;75009;Primeur;Livraisons à domicile;;;https://www.epicery.com/epiceries/au-verger-fleuri;+33 6 33 58 03 92;abdelmajidkarouia@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.340118404348838, 48.879981662293595]}";48.8799816623,2.34011840435
Aux Quatre Saisons;38 rue de Rochechouart;75009;Primeur;Livraisons à domicile;;;https://www.epicery.com/epiceries/quatre-saisons-paris9;+33 6 65 71 26 74;ramzikarouia@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.3456563044254652, 48.87908064478558]}";48.8790806448,2.34565630443
French American Bakery;48 rue du Faubourg Saint-Denis;75010;Boulangerie - pâtisserie;Livraisons à domicile;Boulangerie - pâtisserie, Brunch;;https://www.epicery.com/epiceries/french-american-bakery;+33 7 88 49 88 51;vincent.saulnier@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.353826691813312, 48.87170293275951]}";48.8717029328,2.35382669181
Fromagerie & Cave Bouvet Saint-Martin;31/33 Rue du Château d'Eau;75010;Fromagerie;Livraisons à domicile;Fromage;;https://www.epicery.com/epiceries/fromagerie-bouvet;+33 6 16 50 52 67;lacavedumarche@numericable.fr;"{""type"": ""Point"", ""coordinates"": [2.358296110508919, 48.871031080305094]}";48.8710310803,2.35829611051
Fromagerie Saint-Quentin;85B Boulevard de Magenta;75010;Fromagerie;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/fromagerie-saint-quentin;01 44 83 07 93;met1yapar@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.355627884039561, 48.876416355076806]}";48.8764163551,2.35562788404
Le Verger De Picpus;60 Boulevard de Picpus;75012;Primeur;Livraisons à domicile;Fruits, Légumes;;https://www.epicery.com/epiceries/le-verger-de-picpus;+33 7 83 52 08 13;souhaiel.ben.daamar@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.402478980845473, 48.8446012543677]}";48.8446012544,2.40247898085
Le Raisin Bleu Losserand;108 Rue Raymond Losserand;75014;Caviste - Brasserie;Livraisons à domicile;Champagnes;;https://www.epicery.com/epiceries/raisin-bleu-losserand;+33 6 07 52 53 64;raisinbleuparis@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.315231823331302, 48.832463966872254]}";48.8324639669,2.31523182333
Primeur de Gama;74 Rue Raymond Losserand;75014;Primeur;Livraisons à domicile;Fruits, Légumes;;https://www.epicery.com/epiceries/primeur-de-gama;+33 6 70 40 88 24;djidji751@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.317762226977079, 48.83380286091516]}";48.8338028609,2.31776222698
Les Primeurs d'Excellence Mozart;50 Avenue Mozart;75016;Primeur;Livraisons à domicile;Fruits;;https://www.epicery.com/epiceries/excellence-mozart;+33 6 65 41 86 89;krouna-sofiane@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.269736570329557, 48.85523811791744]}";48.8552381179,2.26973657033
Au Jardin des Dames;1, rue Truffaut;75017;Primeur;Livraisons à domicile;Bio;;https://www.epicery.com/epiceries/au-jardin-des-dames;+33 6 49 93 69 04;benharzallahanis@live.fr;"{""type"": ""Point"", ""coordinates"": [2.323320137117916, 48.8843266670105]}";48.884326667,2.32332013712
French Toast & Co;11 rue Guillaume Tell;75017;Boulangerie - pâtisserie;Livraisons à domicile;Boulangerie - pâtisserie;;https://www.epicery.com/epiceries/french-toast-co;+33 6 43 97 22 79;sd@frenchtoastandco.com;"{""type"": ""Point"", ""coordinates"": [2.293725437508142, 48.88416409960511]}";48.8841640996,2.29372543751
Les Belles Envies - Poncelet;17 rue Poncelet;75017;Boulangerie - pâtisserie;Livraisons à domicile;Chocolat;;https://www.epicery.com/epiceries/les-belles-envies-poncelet;+33 6 99 89 90 24;eric.bernardino@lesbellesenvies.com;"{""type"": ""Point"", ""coordinates"": [2.297001748635333, 48.87918055648196]}";48.8791805565,2.29700174864
Maison Leautey;83  Avenue de Saint-Ouen;75017;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/leautey-charcuterie-fromagerie;+33 6 49 75 40 10;leautey@aol.com;"{""type"": ""Point"", ""coordinates"": [2.327356729482935, 48.89330135990412]}";48.8933013599,2.32735672948
Faidherbe Bio;11 rue faidherbe;75011;Épicerie fine;Livraisons à domicile;Bio, Brunch;;https://www.epicery.com/epiceries/faidherbe-bio;+33 6 22 61 42 61;contact@faidherbebio.com;"{""type"": ""Point"", ""coordinates"": [2.3837047909377462, 48.85143847577178]}";48.8514384758,2.38370479094
UMÀ;77 avenue de la République;75011;Caviste - Brasserie;Livraisons à domicile;Boissons sans alcool: thés infusions glacés et sodas artisanaux;;https://www.facebook.com/drinkuma?ref=aymt_homepage_panel;06 85 20 76 10;hello@uma.paris;"{""type"": ""Point"", ""coordinates"": [2.380088795542542, 48.86436229582866]}";48.8643622958,2.38008879554
La Curieuse Compagnie;32 rue de l'échiquier;75010;Caviste - Brasserie;Livraisons à domicile;"Cave à manger avec plus de 200 références de vins à glouglouter !
Livraison gratuite Jeudi, Vendredi, Samedi
100€ minimum (Paris / Proche Banlieue)";;https://www.instagram.com/lacurieuseco/;07 71 79 09 31;lacurieuseco@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.350280425771982, 48.871600009539755]}";48.8716000095,2.35028042577
L’Oriental Batignolles;55 boulevard des Batignolles;75008;Restaurant ou traiteur;Livraisons à domicile;"Vente à emporter et livraison assurée tous les jours de 12h30 a 21h sans interruption. 
Cuisine gastronomique marocaine. Menu ramadan sur commande";;https://www.restaurantloriental.fr/;09 52 73 27 45;;"{""type"": ""Point"", ""coordinates"": [2.318312891083344, 48.881464463075716]}";48.8814644631,2.31831289108
Mon Epicerie Paris;31 rue des Gravilliers;75003;Alimentation générale et produits de première nécessité;Livraisons à domicile;Epicerie 100% végétale.  Passez une commande en utilisant le bon de commande téléchargeable !;;https://monepicerieparis.fr/bon-de-commande-order-form/;;contact@monepicerieparis.fr;"{""type"": ""Point"", ""coordinates"": [2.356022070216752, 48.86399022484766]}";48.8639902248,2.35602207022
Au Cochon De Lait;23 avenue Corentin Cariou;75019;Restaurant ou traiteur;Livraisons à domicile;Carte et renseignements sur notre page Facebook: Au Cochon De Lait;;;;;"{""type"": ""Point"", ""coordinates"": [2.3844014713923283, 48.896903040855]}";48.8969030409,2.38440147139
La Vie Fleurie;101 rue Lecourbe;75015;Fleuriste;Livraisons à domicile, Retrait de commandes en magasin;Fleuriste historique et iconique au cœur XV, découvrez notre large gamme de fleurs et plantes issues des producteurs franciliens, nationaux et européens;;;01 45 66 79 66;laviefleurie@wanadoo.fr;"{""type"": ""Point"", ""coordinates"": [2.30338241274088, 48.842707489993835]}";48.84270749,2.30338241274
KL Pâtisserie Paris;78 avenue de Villiers;75017;Chocolaterie - Pâtisserie;Livraisons à domicile, Retrait de commandes en magasin;Pâtisserie du chef Kevin Lacote, nous ne travaillons que les produits de saison, sans colorants, nos créations sont préparées chaque jour à partir de produits de qualité de préférence français.;;https://www.klpatisserie.com/boutique/;01 45 71 64 84;contact@klpatisserie.com;"{""type"": ""Point"", ""coordinates"": [2.303718990920856, 48.88419051395475]}";48.884190514,2.30371899092
Désirée Laumière;96 rue de Meaux;75019;Fleuriste;Livraisons à domicile, Retrait de commandes en magasin;Désirée est un café-fleuriste écoresponsable proposant uniquement des fleurs locales et de saison. Côté café, nous proposons des plats et gâteaux à emporter.;;https://www.desireefleurs.fr;06 13 48 10 38;bonjour@desireefleurs.fr;"{""type"": ""Point"", ""coordinates"": [2.380033781911227, 48.88494209108185]}";48.8849420911,2.38003378191
FRIC-FRAC;79 quai de Valmy;75010;Restaurant ou traiteur;Retrait de commandes en magasin;Fric-Frac a revisité le croque-monsieur avec des Meilleurs Ouvriers de France afin de concevoir des recettes originales.;;https://fricfrac.fr;01 42 85 87 34;contact@fricfrac.fr;"{""type"": ""Point"", ""coordinates"": [2.364009572965032, 48.872408587146374]}";48.8724085871,2.36400957297
Le monde de lea;9 rue de l’olive 75018;75018;Restaurant ou traiteur;Retrait de commandes en magasin;;;;06 25 49 34 58;Mohandredjdal@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.361188717144763, 48.890840316855716]}";48.8908403169,2.36118871714
